"id","cidr","createdAt","createdBy","description","envTypeConfigId","envTypeId","error","indexId","instanceType","inWorkflow","loadBalancerId","name","projectId","provisionedProductId","rev","status","studyIds","studyRoles","updatedAt","updatedBy"
"8ebda0ae-4379-47bd-853d-30f192c80343","174.126.61.135/32","2024-07-09T14:47:45.720Z","u-_ZciGq7XDkxfm9haRibiv","Database","linux-medium","prod-eawoj7gbea2iy-pa-k3zz3xjloi4yo","""Error provisioning environment database. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-u47qbxl3dve3w, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Failed to receive 1 resource signal(s) within the specified duration}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Eventual consistency check initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-u47qbxl3dve3w, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","research","m5.2xlarge","true","","database","Research-Fellowship-C2","pp-u47qbxl3dve3w","1","FAILED","[{""S"":""rfc2-scott-waggener""}]","{}","2024-07-09T15:13:19.505Z","_system_"
"eb9beb0f-02ab-48ce-9f19-bb765b6c0d27","24.55.2.226/32","2024-07-16T16:28:40.612Z","u-74cq57xq1gBAHm-UxlT8M","test","linux-small","prod-eawoj7gbea2iy-pa-k3zz3xjloi4yo","""Error provisioning environment test. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-bx24wy5ft2le2, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Failed to receive 1 resource signal(s) within the specified duration}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Eventual consistency check initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-bx24wy5ft2le2, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","0","t3.medium","true","","test","aim-ahead-swb-prod","pp-bx24wy5ft2le2","1","FAILED","[]","","2024-07-16T16:54:01.194Z","u-74cq57xq1gBAHm-UxlT8M"
"bdf8547f-c53a-4f77-a07c-bbe48507208d","24.147.255.3/32","2024-01-05T00:15:44.402Z","u-74cq57xq1gBAHm-UxlT8M","test","windows-small","prod-wksgqqvm6wm5g-pa-r7whn5rgrssdq","""Error provisioning environment test. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-gyqgfsmfnjbp6, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The image id '[ami-08672c106d4baa527]' does not exist (Service: AmazonEC2; Status Code: 400; Error Code: InvalidAMIID.NotFound; Request ID: fae5b639-d8da-4f2c-a28b-b68364ec2558; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-gyqgfsmfnjbp6, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","0","","true","","test","aim-ahead-swb-prod","pp-gyqgfsmfnjbp6","1","FAILED","[]","","2024-01-05T00:21:31.259Z","u-74cq57xq1gBAHm-UxlT8M"
"97e8799f-b93f-4f07-9224-112c2b128d4e","24.147.255.3/32","2024-01-03T20:15:16.448Z","u-8ou75sZyJTh0tT70zSl8_","test","linux-small","prod-eawoj7gbea2iy-pa-k3zz3xjloi4yo","""Error provisioning environment fesfe. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-dxtf53x7eusxq, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : The image id '[ami-0fdcf32a6810dbeeb]' does not exist (Service: AmazonEC2; Status Code: 400; Error Code: InvalidAMIID.NotFound; Request ID: 14b3d1aa-b5f2-4157-89d9-b02a0c820735; Proxy: null)}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-dxtf53x7eusxq, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","research","","true","","fesfe","Research-Fellowship-C2","pp-dxtf53x7eusxq","1","FAILED","[{""S"":""rfc2-scott-waggener""}]","{}","2024-01-03T20:21:00.150Z","_system_"
"df2d1fd5-65a4-46f7-adc7-ee7cadd37f1f","52.55.5.223/32","2024-03-07T23:25:00.862Z","u-g_PQIckPiNpcWM198wbB0","test","windows-medium","prod-wksgqqvm6wm5g-pa-bzz3ktzzlpmeg","""Error provisioning environment dftest-win2. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-dhl63ets7mgjw, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Failed to receive 1 resource signal(s) within the specified duration}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-dhl63ets7mgjw, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","0","m5.2xlarge","true","","dftest-win2","aim-ahead-swb-prod","pp-dhl63ets7mgjw","1","FAILED","[{""S"":""testing-david-foster""}]","{}","2024-03-08T00:01:41.275Z","_system_"
"b10d33b4-bdca-4277-b439-568d29851ed7","144.118.0.0/16","2025-01-29T19:11:58.791Z","u-Zx_hKGIZiAKdLne_UsNRQ","CONVENE sagemaker","Sagemaker-Medium","prod-o5niatppdiag6-pa-npc2jrch7qrky","""Error provisioning environment CONVENE-SM. Reason: Errors from CloudFormation: [{LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : The role with name analysis-1738178047256-sagemaker-notebook-role cannot be found. (Service: Iam, Status Code: 404, Request ID: a225f226-96b3-4deb-8aba-7ae1db414e26)}, {LogicalResourceId : SC-985832498708-pp-mp6b4gtw5p2q6, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [IAMRole]. Rollback requested by user.}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource handler returned message: """"Cannot exceed quota for RolesPerAccount: 1000 (Service: Iam, Status Code: 409, Request ID: cd7299e1-0a39-4755-8372-63b75dcb747e)"""" (RequestToken: 2747bd45-d130-0f04-4b72-9ce4dbbefa70, HandlerErrorCode: ServiceLimitExceeded)}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : BasicNotebookInstanceLifecycleConfig, ResourceType : AWS::SageMaker::NotebookInstanceLifecycleConfig, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-mp6b4gtw5p2q6, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","research","ml.m5.4xlarge","true","","CONVENE-SM","Research-Fellowship","pp-mp6b4gtw5p2q6","1","FAILED","[{""S"":""CDP-cartwright-sagemaker-only""}]","{}","2025-01-29T19:14:44.593Z","_system_"
"85b3ef25-555b-46a6-93a5-0a05233bac06","24.147.255.3/32","2024-08-22T22:01:26.108Z","u-74cq57xq1gBAHm-UxlT8M","test","linux-small","prod-eawoj7gbea2iy-pa-fn2v4j4v6tizi","""Error provisioning environment keri-test. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-pqzsel42y2lpm, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Received FAILURE signal with UniqueId i-03ce604005b2c02e4}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Eventual consistency check initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-pqzsel42y2lpm, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","0","t3.medium","true","","keri-test","aim-ahead-swb-prod","pp-pqzsel42y2lpm","1","FAILED","[{""S"":""CDP-cartwright-sagemaker-only""},{""S"":""CDP-cartwright-gsw""}]","{}","2024-08-22T22:18:27.555Z","_system_"
"e113b09b-34ea-4bdc-90ce-99691c1ba2c2","24.55.2.226/32","2024-07-16T16:39:33.986Z","u-74cq57xq1gBAHm-UxlT8M","tst","linux-medium","prod-eawoj7gbea2iy-pa-k3zz3xjloi4yo","""Error provisioning environment test. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-g7wjjvcpohfsg, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [EC2Instance]. Rollback requested by user.}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Failed to receive 1 resource signal(s) within the specified duration}, {LogicalResourceId : EC2Instance, ResourceType : AWS::EC2::Instance, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Eventual consistency check initiated}, {LogicalResourceId : InstanceProfile, ResourceType : AWS::IAM::InstanceProfile, StatusReason : Resource creation Initiated}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-g7wjjvcpohfsg, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","0","m5.2xlarge","true","","test","aim-ahead-swb-prod","pp-g7wjjvcpohfsg","1","FAILED","[]","","2024-07-16T17:04:45.888Z","u-74cq57xq1gBAHm-UxlT8M"
"2981d4f4-77e3-4bce-9713-5e3a0eeac649","24.147.255.3/32","2024-11-04T13:11:47.998Z","u-74cq57xq1gBAHm-UxlT8M","test","filienko","prod-o5niatppdiag6-pa-npc2jrch7qrky","""Error provisioning environment test. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-56qredinrxksc, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [BasicNotebookInstance]. Rollback requested by user.}, {LogicalResourceId : BasicNotebookInstance, ResourceType : AWS::SageMaker::NotebookInstance, StatusReason : The account-level service limit 'ml.p4de.24xlarge for notebook instance usage' is 0 Instances, with current utilization of 0 Instances and a request delta of 1 Instances. Please use AWS Service Quotas to request an increase for this quota. If AWS Service Quotas is not available, contact AWS support to request an increase for this quota. (Service: AmazonSageMaker; Status Code: 400; Error Code: ResourceLimitExceeded; Request ID: 001308d6-5521-48ee-b8ad-b2eb10355f9a; Proxy: null)}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : BasicNotebookInstanceLifecycleConfig, ResourceType : AWS::SageMaker::NotebookInstanceLifecycleConfig, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-56qredinrxksc, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","0","ml.p4de.24xlarge","true","","test","aim-ahead-swb-prod","pp-56qredinrxksc","1","FAILED","[]","","2024-11-04T13:15:02.438Z","u-74cq57xq1gBAHm-UxlT8M"
"983a5620-87a0-4631-88b9-4ccb7a15a8b5","134.174.140.195/32","2023-11-03T14:54:55.966Z","u-HQe4ez1SWd9mV0Nwkz7M4","BMI705 week 2","sagemaker-large","prod-o5niatppdiag6-pa-qtwxh5jtweqvo","""Error provisioning environment BMI705week3workspace. Reason: Errors from CloudFormation: [{LogicalResourceId : SC-985832498708-pp-okl5mkmmciiom, ResourceType : AWS::CloudFormation::Stack, StatusReason : The following resource(s) failed to create: [BasicNotebookInstance]. Rollback requested by user.}, {LogicalResourceId : BasicNotebookInstance, ResourceType : AWS::SageMaker::NotebookInstance, StatusReason : The account-level service limit 'ml.g5.4xlarge for notebook instance usage' is 5 Instances, with current utilization of 5 Instances and a request delta of 1 Instances. Please use AWS Service Quotas to request an increase for this quota. If AWS Service Quotas is not available, contact AWS support to request an increase for this quota. (Service: AmazonSageMaker; Status Code: 400; Error Code: ResourceLimitExceeded; Request ID: c19c949f-b8a9-48d8-bc7c-f916536293f2; Proxy: null)}, {LogicalResourceId : IAMRole, ResourceType : AWS::IAM::Role, StatusReason : Resource creation Initiated}, {LogicalResourceId : SecurityGroup, ResourceType : AWS::EC2::SecurityGroup, StatusReason : Resource creation Initiated}, {LogicalResourceId : BasicNotebookInstanceLifecycleConfig, ResourceType : AWS::SageMaker::NotebookInstanceLifecycleConfig, StatusReason : Resource creation Initiated}, {LogicalResourceId : InstanceRolePermissionBoundary, ResourceType : AWS::IAM::ManagedPolicy, StatusReason : Resource creation Initiated}, {LogicalResourceId : SC-985832498708-pp-okl5mkmmciiom, ResourceType : AWS::CloudFormation::Stack, StatusReason : User Initiated}]""","teaching","","true","","BMI705week3workspace","DBMI-teaching","pp-okl5mkmmciiom","1","FAILED","[{""S"":""yuchen-cheng""},{""S"":""DBMI-teaching-READONLY-705""}]","{}","2023-11-03T14:58:23.621Z","_system_"
